================ Step 21: 几何邻居 + 下游听众 ================


=== Part A: down_col 几何邻居 (top-25) ===

--- L28#2406  (fact: Google) ---
   1. L34#7746   cos= +0.469
   2. L34#9714   cos= +0.249
   3. L34#1601   cos= +0.187
   4. L33#4383   cos= +0.186
   5. L29#4015   cos= +0.176
   6. L34#2477   cos= +0.173
   7. L32#10633  cos= +0.172
   8. L26#9225   cos= +0.170
   9. L28#1741   cos= +0.159
  10. L34#6331   cos= +0.153
  11. L34#315    cos= +0.151
  12. L27#2040   cos= +0.148
  13. L30#2136   cos= +0.147
  14. L26#3255   cos= +0.141
  15. L33#4251   cos= +0.138
  16. L33#133    cos= +0.134
  17. L26#7986   cos= +0.130
  18. L34#4411   cos= +0.130
  19. L27#3906   cos= +0.129
  20. L32#325    cos= +0.128
  21. L24#7053   cos= +0.128
  22. L27#360    cos= +0.126
  23. L24#11114  cos= +0.123
  24. L27#6672   cos= +0.121
  25. L34#7879   cos= +0.119

--- L27#6644  (lit/d3_depth_pos) ---
   1. L28#6718   cos= +0.191
   2. L34#7202   cos= +0.157
   3. L28#5757   cos= +0.143
   4. L34#11808  cos= +0.137
   5. L26#982    cos= +0.120
   6. L3#5422   cos= +0.119
   7. L25#1293   cos= +0.118
   8. L25#9432   cos= +0.117
   9. L27#6970   cos= +0.117
  10. L33#10066  cos= +0.116
  11. L20#6327   cos= +0.115
  12. L28#11396  cos= +0.113
  13. L26#3138   cos= +0.110
  14. L23#11254  cos= +0.106
  15. L26#1639   cos= +0.106
  16. L33#10104  cos= +0.104
  17. L34#7929   cos= +0.102
  18. L8#941    cos= +0.102
  19. L21#696    cos= +0.101
  20. L30#11175  cos= +0.101
  21. L33#3539   cos= +0.100
  22. L29#11686  cos= +0.100
  23. L18#5587   cos= +0.100
  24. L3#2283   cos= +0.100
  25. L33#10031  cos= +0.100

--- L27#10024  (lit/d1_detail_neg) ---
   1. L34#8789   cos= +0.295
   2. L26#5430   cos= +0.207  ★ [A] general/tone_neg
   3. L26#7624   cos= +0.194
   4. L27#8637   cos= +0.190
   5. L26#1245   cos= +0.179
   6. L25#5726   cos= +0.165
   7. L27#5590   cos= +0.155  ★ [A] lit/d3_depth_neg
   8. L34#8321   cos= +0.131
   9. L28#2410   cos= +0.131
  10. L25#3560   cos= +0.127
  11. L34#4786   cos= +0.123
  12. L24#5907   cos= +0.114
  13. L34#8775   cos= +0.114
  14. L34#1748   cos= +0.113
  15. L8#5436   cos= +0.112
  16. L32#8366   cos= +0.112
  17. L32#4961   cos= +0.112
  18. L9#1010   cos= +0.111
  19. L29#4901   cos= +0.110
  20. L26#3671   cos= +0.109
  21. L25#9574   cos= +0.109
  22. L22#1077   cos= +0.107
  23. L33#1153   cos= +0.106
  24. L10#4190   cos= +0.105
  25. L33#1659   cos= +0.104

--- L27#5590  (lit/d3_depth_neg) ---
   1. L27#5606   cos= +0.169
   2. L34#4063   cos= +0.161
   3. L28#6718   cos= +0.160
   4. L27#10024  cos= +0.155  ★ [A] lit/d1_detail_neg
   5. L34#3650   cos= +0.148  ★ [A] code/late_layer_pos
   6. L27#7942   cos= +0.140
   7. L29#10968  cos= +0.139
   8. L28#8714   cos= +0.136
   9. L34#4168   cos= +0.133
  10. L24#5008   cos= +0.127
  11. L12#2350   cos= +0.125
  12. L29#5460   cos= +0.124
  13. L25#9292   cos= +0.124
  14. L34#384    cos= +0.124  ★ [T] thought/SOP_template_neg
  15. L27#8814   cos= +0.123
  16. L32#5779   cos= +0.122
  17. L29#6936   cos= +0.122
  18. L29#5699   cos= +0.121
  19. L27#12187  cos= +0.120
  20. L23#10334  cos= +0.119
  21. L26#11063  cos= +0.117
  22. L18#2653   cos= +0.117
  23. L31#7409   cos= +0.116
  24. L24#394    cos= +0.115
  25. L27#12242  cos= +0.115

--- L32#9383  (lit/d2_structure_neg) ---
   1. L32#11644  cos= +0.846
   2. L32#4881   cos= +0.779
   3. L32#2832   cos= +0.751
   4. L32#8242   cos= +0.749
   5. L32#3603   cos= +0.747
   6. L32#1347   cos= +0.724
   7. L32#5473   cos= +0.710
   8. L32#7908   cos= +0.705
   9. L32#8379   cos= +0.615
  10. L32#4936   cos= +0.590
  11. L32#8079   cos= +0.557
  12. L32#9590   cos= +0.528
  13. L32#3264   cos= +0.517
  14. L32#3835   cos= +0.509
  15. L32#5290   cos= +0.479
  16. L32#12100  cos= +0.457
  17. L32#6630   cos= +0.437
  18. L32#4265   cos= +0.430
  19. L32#5379   cos= +0.416
  20. L32#4960   cos= +0.416
  21. L32#1096   cos= +0.410
  22. L29#11758  cos= +0.408
  23. L29#2890   cos= +0.405
  24. L32#5461   cos= +0.405
  25. L32#10584  cos= +0.399

--- L32#8474  (lit/d1_detail_pos) ---
   1. L32#10991  cos= +0.830
   2. L32#6661   cos= +0.828
   3. L32#4739   cos= +0.810
   4. L32#10305  cos= +0.785
   5. L32#8837   cos= +0.776
   6. L32#726    cos= +0.776
   7. L32#5451   cos= +0.744
   8. L32#2974   cos= +0.691
   9. L32#6205   cos= +0.650
  10. L32#2170   cos= +0.639
  11. L32#7539   cos= +0.634
  12. L32#1709   cos= +0.626
  13. L32#12167  cos= +0.599
  14. L32#465    cos= +0.528
  15. L32#11128  cos= +0.516
  16. L32#4962   cos= +0.512
  17. L32#6835   cos= +0.509
  18. L32#5086   cos= +0.489
  19. L32#1335   cos= +0.487
  20. L32#1224   cos= +0.484
  21. L32#11157  cos= +0.479
  22. L32#4353   cos= +0.450
  23. L32#4467   cos= +0.444
  24. L32#569    cos= +0.436
  25. L32#2029   cos= +0.434

--- L34#8522  (lit/d2_marker_pos) ---
   1. L25#5726   cos= +0.283
   2. L26#5430   cos= +0.276  ★ [A] general/tone_neg
   3. L34#8613   cos= +0.217
   4. L34#5912   cos= +0.211
   5. L34#2145   cos= +0.210
   6. L34#10121  cos= +0.209
   7. L33#5757   cos= +0.209
   8. L34#6232   cos= +0.207
   9. L34#1740   cos= +0.201
  10. L34#2881   cos= +0.198
  11. L34#12182  cos= +0.197
  12. L34#9125   cos= +0.195
  13. L34#7883   cos= +0.195
  14. L34#11658  cos= +0.192
  15. L34#4563   cos= +0.192
  16. L34#557    cos= +0.192
  17. L34#516    cos= +0.190
  18. L34#61     cos= +0.189
  19. L34#5550   cos= +0.189
  20. L34#148    cos= +0.188
  21. L34#1866   cos= +0.183
  22. L34#273    cos= +0.182
  23. L34#6736   cos= +0.182
  24. L34#620    cos= +0.180
  25. L34#5229   cos= +0.180

--- L34#6608  (thought/SOP_template_neg) ---
   1. L34#2647   cos= +0.635
   2. L34#3688   cos= +0.590
   3. L34#8979   cos= +0.580
   4. L34#2913   cos= +0.538
   5. L34#8958   cos= +0.536
   6. L34#245    cos= +0.481
   7. L34#3739   cos= +0.475
   8. L34#325    cos= +0.461
   9. L28#11595  cos= +0.422
  10. L26#8857   cos= +0.407
  11. L28#5383   cos= +0.404
  12. L33#10507  cos= +0.382
  13. L34#1156   cos= +0.363
  14. L34#3966   cos= +0.363  ★ [A] code/late_layer_pos
  15. L28#6772   cos= +0.362
  16. L28#10668  cos= +0.354
  17. L34#9074   cos= +0.349
  18. L34#8711   cos= +0.349
  19. L28#5742   cos= +0.347
  20. L30#8998   cos= +0.345
  21. L25#3109   cos= +0.335
  22. L34#6539   cos= +0.326
  23. L34#5181   cos= +0.325
  24. L34#4099   cos= +0.325
  25. L25#399    cos= +0.319


=== Part B: L27#6644 下游听众 ===

--- L28 (top-15) ---
  L28#1368   g=+0.075  u=+0.070  g*u=+0.0052
  L28#9236   g=+0.083  u=+0.061  g*u=+0.0051
  L28#2846   g=-0.083  u=-0.058  g*u=+0.0048
  L28#5762   g=+0.054  u=+0.087  g*u=+0.0048
  L28#3149   g=+0.084  u=+0.056  g*u=+0.0047
  L28#4596   g=+0.077  u=+0.060  g*u=+0.0046
  L28#11216  g=+0.088  u=+0.048  g*u=+0.0042
  L28#1039   g=+0.061  u=+0.069  g*u=+0.0042
  L28#1186   g=+0.070  u=+0.059  g*u=+0.0041
  L28#957    g=+0.049  u=+0.082  g*u=+0.0040
  L28#3900   g=+0.046  u=+0.085  g*u=+0.0039
  L28#6502   g=+0.086  u=+0.046  g*u=+0.0039
  L28#1370   g=-0.092  u=-0.042  g*u=+0.0039
